rank,variant_id,fraction_A,fraction_C,fraction_D,fraction_E,fraction_F,fraction_G,fraction_H,fraction_I,fraction_K,fraction_L,fraction_M,fraction_N,fraction_P,fraction_Q,fraction_R,fraction_S,fraction_T,fraction_V,fraction_W,fraction_Y,molecular_weight,isoelectric_point,gravy,mutation_count,expression,predicted_activity,hit_probability
1,R3_01,0.05357142857142857,0.0,0.05357142857142857,0.03571428571428572,0.07142857142857144,0.03571428571428572,0.01785714285714286,0.08928571428571429,0.08928571428571429,0.07142857142857144,0.03571428571428572,0.03571428571428572,0.01785714285714286,0.08928571428571429,0.05357142857142857,0.07142857142857144,0.05357142857142857,0.05357142857142857,0.01785714285714286,0.05357142857142857,6655.615099999999,9.520965003967284,-0.35714285714285715,4,0.99,1.0482051244074593,0.9994337844263377
2,R3_04,0.05357142857142857,0.0,0.05357142857142857,0.03571428571428572,0.07142857142857144,0.03571428571428572,0.01785714285714286,0.07142857142857144,0.08928571428571429,0.07142857142857144,0.03571428571428572,0.03571428571428572,0.01785714285714286,0.08928571428571429,0.05357142857142857,0.08928571428571429,0.03571428571428572,0.07142857142857144,0.01785714285714286,0.05357142857142857,6627.561900000001,9.520965003967284,-0.3642857142857143,4,0.98,0.9825070559387108,0.9996967364983883
3,R3_03,0.05357142857142857,0.0,0.05357142857142857,0.03571428571428572,0.07142857142857144,0.03571428571428572,0.03571428571428572,0.08928571428571429,0.08928571428571429,0.07142857142857144,0.03571428571428572,0.01785714285714286,0.01785714285714286,0.08928571428571429,0.05357142857142857,0.08928571428571429,0.03571428571428572,0.05357142857142857,0.01785714285714286,0.05357142857142857,6664.6252,9.521029472351074,-0.3535714285714286,4,0.98,0.9805373539032916,0.9997738756624855
4,R3_02,0.05357142857142857,0.0,0.07142857142857144,0.03571428571428572,0.07142857142857144,0.03571428571428572,0.01785714285714286,0.08928571428571429,0.08928571428571429,0.07142857142857144,0.03571428571428572,0.01785714285714286,0.01785714285714286,0.08928571428571429,0.05357142857142857,0.08928571428571429,0.03571428571428572,0.05357142857142857,0.01785714285714286,0.05357142857142857,6642.5733,9.156589698791507,-0.35892857142857143,4,0.97,0.9539617817602406,0.9996645615089012
5,R3_08,0.05357142857142857,0.0,0.05357142857142857,0.03571428571428572,0.08928571428571429,0.03571428571428572,0.01785714285714286,0.07142857142857144,0.08928571428571429,0.07142857142857144,0.03571428571428572,0.03571428571428572,0.01785714285714286,0.08928571428571429,0.05357142857142857,0.07142857142857144,0.05357142857142857,0.07142857142857144,0.01785714285714286,0.03571428571428572,6625.589099999999,9.599294090270995,-0.28928571428571426,4,0.96,0.9298226916660584,0.9860303669532519
6,R3_05,0.07142857142857144,0.0,0.05357142857142857,0.03571428571428572,0.08928571428571429,0.03571428571428572,0.01785714285714286,0.08928571428571429,0.08928571428571429,0.07142857142857144,0.03571428571428572,0.03571428571428572,0.01785714285714286,0.08928571428571429,0.05357142857142857,0.07142857142857144,0.05357142857142857,0.03571428571428572,0.01785714285714286,0.03571428571428572,6611.562599999999,9.599294090270995,-0.3267857142857143,4,0.96,0.9215349055945325,0.9841510172960932
7,R3_06,0.05357142857142857,0.0,0.07142857142857144,0.03571428571428572,0.08928571428571429,0.03571428571428572,0.01785714285714286,0.08928571428571429,0.08928571428571429,0.07142857142857144,0.03571428571428572,0.01785714285714286,0.01785714285714286,0.08928571428571429,0.05357142857142857,0.07142857142857144,0.05357142857142857,0.05357142857142857,0.01785714285714286,0.03571428571428572,6640.6005000000005,9.222669792175292,-0.2839285714285714,4,0.95,0.902244478039388,0.9844355980455857
8,R3_12,0.05357142857142857,0.0,0.07142857142857144,0.03571428571428572,0.07142857142857144,0.03571428571428572,0.01785714285714286,0.08928571428571429,0.08928571428571429,0.08928571428571429,0.03571428571428572,0.01785714285714286,0.01785714285714286,0.07142857142857144,0.05357142857142857,0.07142857142857144,0.05357142857142857,0.05357142857142857,0.01785714285714286,0.05357142857142857,6641.6283,9.156589698791507,-0.2267857142857143,4,0.92,0.8561257931758288,0.982761382385762
9,R3_07,0.05357142857142857,0.0,0.05357142857142857,0.03571428571428572,0.07142857142857144,0.03571428571428572,0.03571428571428572,0.08928571428571429,0.08928571428571429,0.08928571428571429,0.03571428571428572,0.01785714285714286,0.01785714285714286,0.07142857142857144,0.05357142857142857,0.07142857142857144,0.05357142857142857,0.05357142857142857,0.01785714285714286,0.05357142857142857,6663.680200000001,9.521029472351074,-0.22142857142857147,4,0.91,0.8495502210327774,0.9866061871310078
10,R3_10,0.05357142857142857,0.0,0.07142857142857144,0.03571428571428572,0.08928571428571429,0.03571428571428572,0.03571428571428572,0.08928571428571429,0.08928571428571429,0.07142857142857144,0.03571428571428572,0.0,0.01785714285714286,0.08928571428571429,0.05357142857142857,0.08928571428571429,0.03571428571428572,0.05357142857142857,0.01785714285714286,0.03571428571428572,6649.6106,9.222927665710447,-0.28035714285714286,4,0.93,0.8179858660150361,0.9932828557612383
