,Location,Population,% of world,Date,Source (official or from the United Nations),Notes
191,Seychelles,123097.0,0.001%,31 Dec 2025,Official estimate[206],
192,Kiribati,120740.0,0.001%,1 Jul 2021,National annual projection[196],
193,Aruba (Netherlands),110625.0,0.001%,31 Dec 2025,Official estimate[207],
194,Saint Vincent and the Grenadines,109296.0,0.001%,15 Jun 2023,2023 census result[208],
195,Grenada,109021.0,0.001%,2021,Preliminary Census results[209],
196,Antigua and Barbuda,103603.0,0.001%,1 Jan 2024,Official estimate[210],
197,Jersey (UK),103267.0,0.001%,21 Mar 2021,2021 census result[211],
198,Tonga,100179.0,0.001%,30 Nov 2021,2021 census result[212],
199,Andorra,89484.0,0.001%,30 Apr 2026,Monthly national estimate[213],
200,Cayman Islands (UK),88833.0,0.001%,31 Dec 2024,National annual projection[214],
201,U.S. Virgin Islands (US),87146.0,0.001%,1 Apr 2020,2020 census result[215],
202,Isle of Man (UK),84975.0,0.001%,1 Apr 2025,Official estimate[216],
203,Micronesia,75817.0,0.0009%,12 Feb 2023,2023 Census[217],
204,Dominica,65514.0,0.0008%,2026,Official estimate[218],
205,Guernsey (UK),64781.0,0.0008%,31 Dec 2023,National quarterly estimate[219],
206,Bermuda (UK),64055.0,0.0008%,1 Jul 2021,National annual projection[220],
207,Greenland (Denmark),56740.0,0.0007%,1 Jan 2026,National quarterly estimate[221],
208,South Ossetia,56520.0,0.0007%,31 Dec 2021,Official estimate[222],[ag]
209,Faroe Islands (Denmark),55348.0,0.0007%,1 May 2026,Monthly national estimate[223],
210,Saint Kitts and Nevis,51320.0,0.0006%,2022,2022 census result[224],
211,Turks and Caicos Islands (UK),50828.0,0.0006%,1 Jul 2024,Official estimate[225],
212,American Samoa (US),49710.0,0.0006%,1 Apr 2020,2020 census result[226],
213,Northern Mariana Islands (US),47329.0,0.0006%,1 Apr 2020,2020 census result[227],
214,Marshall Islands,42418.0,0.0005%,30 Sep 2021,2021 Census[228],
215,Sint Maarten (Netherlands),41349.0,0.0005%,1 Jan 2025,Official estimate[229],
216,Liechtenstein,41237.0,0.0005%,31 Dec 2025,National estimate[230],
217,British Virgin Islands (UK),39471.0,0.0005%,1 Jul 2024,UN projection[3],
218,Monaco,38857.0,0.0005%,31 Dec 2025,Census[231],
219,Gibraltar (UK),38196.0,0.0005%,14 Nov 2022,Preliminary census results[232],
220,San Marino,34159.0,0.0004%,30 Apr 2026,Monthly national estimate[233],
221,Saint Martin (France),31496.0,0.0004%,1 Jan 2025,Official estimate[234],
222,Palau,16733.0,0.0002%,1 Jul 2021,2021 Census[235],
223,Anguilla (UK),16010.0,0.0002%,31 Dec 2024,Official estimate[236],
224,Cook Islands (New Zealand),15040.0,0.0002%,1 Jul 2021,2021 Census[237],
225,Nauru,11680.0,0.0001%,30 Oct 2021,2021 Census[238],
226,Wallis and Futuna (France),11620.0,0.0001%,24 Jul 2023,2023 Census[239],
227,Tuvalu,10643.0,0.0001%,12 Dec 2022,2022 Census[240],
228,Saint Barthélemy (France),10562.0,0.0001%,1 Jan 2025,Official estimate[234],
